Usos,Nombre,Sp,Copa,Altura,Bajio,Enredadera,Productividad,Estrato,N,P,K,Ca,Medicinal,Frutal,Aromatico,otros,Inundacion,Sequia,Salinidad,Acidez,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,Sombra,Distancia,Diametro.dosel,Altura.tot,T1a.produccion,Trecambio,pond,ind
Medicinal,"Ojito de pescado",sp11,0.8,FALSE,FALSE,FALSE,19.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,3,0.16,153
Medicinal,Uncucha,sp11,0.6,FALSE,FALSE,FALSE,9.47,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,11,1,0.08,153
Medicinal,"Ají dulce regional",sp11,0.8,FALSE,FALSE,FALSE,7.93,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,1,1,1,3,3,0.07,153
Medicinal,Platano,sp11,3.1,FALSE,FALSE,FALSE,3.44,2,0,0,1,0,0,1,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,6,9,1,0.03,22
Medicinal,"Frijol palo",sp11,1.4,FALSE,FALSE,FALSE,11.88,2,1,0,0,0,0,1,0,1,0,0,0,1,2,2,2,2,0,0,0,0,0,0,2,2,0,1,1,3,24,10,0.1,22
Medicinal,"Camu camu",sp11,7.1,FALSE,TRUE,FALSE,58.36,2,0,0,0,0,0,1,0,0,1,1,0,0,1,2,2,2,1,0,1,0,1,0,1,1,0,5,3,6,36,15,0.5,22
Medicinal,Papaya,sp11,3.1,FALSE,FALSE,FALSE,11.46,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,1,1,1,0,6,2,9,9,3,0.1,22
Medicinal,Limón,sp11,19.6,FALSE,FALSE,FALSE,5.6,2,0,0,0,0,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,5,5,5,48,15,0.05,22
Medicinal,Chacruna,sp11,3.1,FALSE,FALSE,FALSE,25.46,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,24,,0.22,22
Medicinal,Anona,sp11,28.3,FALSE,FALSE,FALSE,1.7,3,0,0,0,0,1,1,0,0,0,0,0,1,1,2,2,2,1,2,2,0,1,1,1,1,0,5,6,8,60,20,0.01,7
Medicinal,Cacao,sp11,28.3,FALSE,FALSE,FALSE,0.25,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,2,2,0,2,1,1,0,1,4,6,8,60,11,0,7
Medicinal,Carambola,sp11,19.6,FALSE,FALSE,FALSE,8.96,3,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2,2,2,2,1,0,1,1,2,1,0,7,5,10,42,20,0.08,7
Medicinal,Copoazú,sp11,38.5,FALSE,FALSE,FALSE,2.99,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,2,1,1,0,0,1,1,1,1,1,7,7,6,42,10,0.03,7
Medicinal,Pacae,sp11,28.3,FALSE,FALSE,FALSE,3.98,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,2,2,2,0,0,0,0,0,0,6,6,13,48,15,0.03,7
Medicinal,Pomarrosa,sp11,28.3,FALSE,FALSE,FALSE,14.85,3,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,2,1,1,0,10,6,10,48,25,0.13,7
Medicinal,Pomelo,sp11,19.6,FALSE,FALSE,FALSE,7.16,3,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,8,5,5,48,20,0.06,7
Medicinal,Shimbillo,sp11,28.3,FALSE,FALSE,FALSE,3.09,3,1,0,0,0,0,1,0,1,0,0,0,1,0,1,2,2,2,2,1,0,1,0,0,0,0,5,6,16,54,15,0.03,7
Medicinal,Aguaje,sp11,28.3,FALSE,TRUE,FALSE,21.22,4,0,0,0,0,1,1,0,1,1,0,0,0,2,2,2,2,2,2,2,2,1,1,1,2,0,18,6,25,90,45,0.18,4
Medicinal,Coco,sp11,19.6,FALSE,TRUE,FALSE,1.68,4,0,0,0,0,0,1,0,0,0,0,1,0,2,2,2,2,2,2,2,0,0,0,0,0,0,10,5,30,60,50,0.01,4
Medicinal,"Huasai brasilero / palmito",sp11,19.6,FALSE,FALSE,FALSE,24.45,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,5,5,30,60,20,0.21,4
Medicinal,Mango,sp11,78.5,FALSE,FALSE,FALSE,19.1,4,0,0,0,0,0,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,2,2,2,0,11,10,20,96,20,0.16,4
Medicinal,"Pan de arbol",sp11,78.5,FALSE,FALSE,FALSE,12.1,4,0,0,0,0,1,1,0,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,10,10,26,90,25,0.1,4
Medicinal,Pijuayo,sp11,19.6,FALSE,FALSE,FALSE,3.82,4,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2,2,2,2,0,0,1,1,0,0,0,6,5,20,42,20,0.03,4
Medicinal,Sapote,sp11,113.1,FALSE,FALSE,FALSE,7.37,4,0,0,0,0,0,1,0,1,1,1,0,0,1,1,2,2,2,1,0,0,0,0,0,0,1,12,12,20,102,18,0.06,4
Medicinal,Copaiba,sp11,113.1,FALSE,FALSE,FALSE,9.55,5,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,2,2,2,2,1,8,12,28,96,30,0.08,4
Medicinal,"Sangre grado",sp11,38.5,FALSE,FALSE,FALSE,5.26,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,7,7,24,90,18,0.05,4
